category,products-name,products-link
Desktop-laptops,"Intel Customized PC 4, Core i3-6th gen, SSD 480GB ...",https://sindabad.com/intel-customized-pc-4-core-i3-6th-gen-ssd-480gb-sata-8-gb-ram-dell-18-5-monitor.html
Desktop-laptops,"Walton Laptop Core i3 WTZX47A3GR (ZX3701A), Grey, ...",https://sindabad.com/walton-laptop-core-i3-wtzx47a3gr-zx3701a-grey-14-inch.html
Desktop-laptops,"Customized PC 7, Intel Core i3-3th gen, Intel H-6 ...",https://sindabad.com/customized-pc-7-intel-core-i3-3th-gen-intel-h-61-motherboard-wd-500-gb-sata-hard-disk-drive-a4-tech-kr-83-bangla-usb-keyboard-a4-tech-op-620-v-track-usb-mouse.html
Desktop-laptops,"MacBook Pro, 13 Inch (2020)",https://sindabad.com/mac-book-pro-13-inch-model-2020.html
Desktop-laptops,Lenovo IdeaPad Slim 3i Core i3 10th Gen 128 GB SSD ...,https://sindabad.com/lenovo-ideapad-slim-3i-core-i3-10th-gen-128-gb-ssd-hdd-1tb-8-gb-ram-15-6-inch-full-hd-laptop.html
Desktop-laptops,"HP 240 G8-CORP Core i5 11th Gen 1135G7, 2.4GHz,8GB ...",https://sindabad.com/hp-240-g8-corp-core-i5-11th-gen-1135g7-2-4ghz-8gb-ddr4-1tb-hdd-ssd-256-fhd-laptop-14-inch.html
Desktop-laptops,Hp 280 Pro G6 MT Core i7-10700 10th Gen 16GB Ram 1 ...,https://sindabad.com/hp-280-pro-g6-mt-core-i7-10700-10th-gen-16gb-ram-1tb-hdd-ssd256-fhd-preloaded-windows-10-pro-microsoft-office-21-5-inch-monitor.html
Desktop-laptops,"Esonic Wide Screen LED HD Monitor, 19ELMW, 19 Inch",https://sindabad.com/esonic-wide-screen-led-hd-monitor-19elmw-19-inch.html
Desktop-laptops,Gigabyte Aorus 5 MB Core i5 10th Gen Graphics 144H ...,https://sindabad.com/gigabyte-aorus-5-mb-core-i5-10th-gen-graphics-144hz-fhd-gaming-laptop-15-6-inch.html
Desktop-laptops,Asus ZenBook Core i7 10th Gen 512GB SSD 14 UX425JA ...,https://sindabad.com/asus-zenbook-core-i7-10th-gen-512gb-ssd-14-ux425ja-14-inch-fhd-laptop.html
Desktop-laptops,"Lenovo Ideapad Slim 3i 10th Gen Core i3, Ram 8 GB ...",https://sindabad.com/lenovo-ideapad-slim-3i-10th-gen-core-i3-ram-8-gb-14-inch-fhd-laptop.html
Desktop-laptops,Lenovo IdeaPad Slim 3i Core i3 10th Gen 256GB SSD ...,https://sindabad.com/lenovo-ideapad-slim-3i-core-i3-10th-gen-256gb-ssd-8-gb-ram-14-inch-full-hd-laptop.html
Desktop-laptops,ASUS ExpertBook P1-P1440FA Core i3 10th 8GB RAM 12 ...,https://sindabad.com/asus-expertbook-p1-p1440fa-core-i3-10th-8gb-ram-120gb-ssd-laptop-14-inch.html
Desktop-laptops,Lenovo Yoga S940 Core i7 10th Gen UHD Laptop with ...,https://sindabad.com/lenovo-yoga-s940-core-i7-10th-gen-uhd-laptop-with-genuine-windows-10-14-inch.html
Desktop-laptops,Walton Laptop core i3 WTEX4103BL (EX310G Pro) Bla ...,https://sindabad.com/walton-laptop-core-i3-wtex4103bl-14-inch-black-ex310g-pro.html
